,ddpg_a,ddpg_n,ddpg_n_b,ddpg_q,ddpg_q_b,ddpg_q_e,ddpg_q_ep,ddpg_q_p,ddpg_s
$	heta$ MAE (rad),0.3059,0.9454,0.926,0.4956,0.5649,0.2263,0.4962,0.3318,1.5697
$\phi$ MAE (rad),0.3509,1.0562,1.182,0.4266,0.3506,0.2348,0.4091,0.2892,1.5712
$	heta$ MSSE (rad),0.241,0.804,0.77,0.4486,0.5304,0.1473,0.4374,0.2523,
$\phi$ MSSE (rad),0.3083,1.005,1.0845,0.3822,0.3212,0.1617,0.3651,0.2262,
$	heta$ in bounds (%),62.1,15.6,15.4,31.4,26.6,78.2,30.1,52.6,0.0
$\phi$ in bounds (%),40.1,15.0,14.5,34.0,42.3,68.9,34.2,56.4,0.0
$	heta$ unsteady (%),1.4,18.6,19.4,8.5,5.5,4.5,13.5,15.0,100.0
$\phi$ unsteady (%),6.4,17.8,21.2,11.0,7.1,11.4,19.8,18.0,100.0
$	heta$ rise time (s),0.7306,1.1365,1.4296,0.707,0.7683,0.508,0.691,0.517,
$\phi$ rise time (s),0.4664,1.272,1.1034,0.5559,0.4682,0.445,0.4821,0.3911,
$	heta$ settling time (s),1.0499,2.3505,2.4761,1.148,1.2537,0.8346,1.0823,0.9528,
$\phi$ settling time (s),1.0044,2.3748,2.5455,1.037,0.9919,0.7836,1.1741,0.7264,
u1 (V),3.2856,4.6439,4.2434,6.3642,3.5509,1.2459,5.1922,2.6231,9.9994
u2 (V),2.3851,2.5044,3.8639,4.8445,3.4888,1.7891,3.4862,2.0394,9.9996
u1 variation (V),5.5839,8.1802,7.2771,11.3679,5.7757,1.1292,8.4855,3.368,0.094
u2 variation (V),4.0586,3.5308,6.5802,8.8819,6.0429,2.5463,5.8195,2.9107,0.0734
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
