,Unnamed: 0,ddpg_r01,ddpg_r05,ddpg_e10,ddpg_e100,ddpg_e1000,ddpg_r01e100,ddpg_r05e100,ddpg_r01e1000,ddpg_r01e1000_2000epochs
0,$	heta$ MAE (rad),0.275,0.3244,0.3012,0.1926,0.1249,0.1789,0.2277,0.153,0.1609
1,$\phi$ MAE (rad),0.1905,0.1726,0.2114,0.1799,1.5139,0.1512,0.1411,0.1379,0.1016
2,$	heta$ MSSE (rad),0.1973,0.2484,0.2375,0.1196,0.0461,0.0976,0.1425,0.0706,0.0765
3,$\phi$ MSSE (rad),0.1267,0.1152,0.163,0.1296,1.5035,0.0922,0.0728,0.0719,0.0392
4,$	heta$ in bounds (%),72.9,53.8,57.7,91.0,99.3,95.3,77.4,93.5,96.6
5,$\phi$ in bounds (%),76.1,78.0,69.3,82.6,9.7,87.7,79.9,94.6,93.6
6,$	heta$ unsteady (%),4.8,11.6,3.4,0.3,0.5,1.0,8.8,1.0,0.3
7,$\phi$ unsteady (%),10.6,15.3,11.7,3.6,4.7,9.2,18.4,3.7,6.0
8,$	heta$ rise time (s),0.5642,0.6297,0.618,0.5522,0.5046,0.523,0.5946,0.4885,0.4841
9,$\phi$ rise time (s),0.3531,0.4224,0.4112,0.3996,0.4631,0.3612,0.3472,0.3434,0.3442
10,$	heta$ settling time (s),0.9365,1.0184,1.0029,0.7490000000000001,0.6466,0.7805,0.8868,0.7619,0.8282
11,$\phi$ settling time (s),0.6778,0.6556,0.7141,0.6594,0.8621,0.6179,0.6088,0.6187,0.59
12,u1 (V),2.7747,3.1025,2.9265,1.1315,0.9135,2.4866,3.4402,1.9088,1.5593
13,u2 (V),3.5333,2.0677,3.5534,1.6197,1.2930000000000001,4.7096,2.5176,3.6974,2.6204
14,u1 variation (V),4.2715,4.4646,4.7365,1.155,0.6841,3.7803,5.3679,2.5379,1.8349
15,u2 variation (V),6.0433,3.0589999999999997,6.3181,2.481,1.8472,8.5605,3.8498,6.5006,4.2967
16,Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
