,ddpg_q_i0,ddpg_q_i001,ddpg_q_i01,ddpg_q_i1
$	heta$ MAE (rad),0.4179,0.4627,1.5571,0.5716
$\phi$ MAE (rad),0.3596,0.4099,1.5657,0.2382
$	heta$ MSSE (rad),0.3598,0.4212,,0.4298
$\phi$ MSSE (rad),0.3362,0.3856,,0.0809
$	heta$ in bounds (%),34.66,37.56,0.0,36.12
$\phi$ in bounds (%),26.76,33.65,0.0,54.21
$	heta$ unsteady (%),26.02,4.06,100.0,32.22
$\phi$ unsteady (%),40.46,6.09,100.0,39.72
$	heta$ rise time (s),0.655,0.6887,,0.6482
$\phi$ rise time (s),0.4678,0.4426,,0.3271
$	heta$ settling time (s),1.6191,2.2897,,2.8427
$\phi$ settling time (s),1.5416,1.842,,1.9187
u1 (V),5.5494,9.6332,9.99,7.3586
u2 (V),4.9141,8.2619,10.0,5.5397
u1 variation (V),8.8295,18.1618,0.7272,12.2512
u2 variation (V),8.2352,15.7458,0.0,9.3574
Convergence time (min),0.0,0.0,0.0,0.0
