,ddpg_r_0,ddpg_r_1,ddpg_e_0,ddpg_e_1,ddpg_re_0,ddpg_re_1
$	heta$ MAE (rad),0.2168,0.2259,0.3046,0.1733,0.2196,0.1703
$\phi$ MAE (rad),0.172,0.1963,0.284,0.1588,0.1397,0.1351
$	heta$ MSSE (rad),0.1434,0.1565,0.2411,0.0918,0.1401,0.0923
$\phi$ MSSE (rad),0.1163,0.1347,0.2399,0.1067,0.0735,0.0742
$	heta$ in bounds (%),80.2,74.9,58.6,93.5,89.6,94.3
$\phi$ in bounds (%),82.8,70.4,56.7,93.7,95.2,88.6
$	heta$ unsteady (%),3.6,3.8,2.7,0.1,1.9,0.4
$\phi$ unsteady (%),6.0,15.5,6.1,0.3,3.5,8.8
$	heta$ rise time (s),0.5507,0.5849,0.6479,0.5753,0.598,0.6003
$\phi$ rise time (s),0.3611,0.3707,0.4173,0.4221,0.3941,0.3704
$	heta$ settling time (s),0.814,0.8979,0.892,0.7757,0.8772,0.8046
$\phi$ settling time (s),0.6902,0.653,0.8041,0.6474,0.6789,0.5934
u1 (V),1.8194,3.0512,3.3504,1.5766,0.7653,1.3717
u2 (V),3.5022,3.0869,4.6546,1.9869,0.8537,2.3447
u1 variation (V),2.4032,4.86,5.6353,2.107,0.37,1.6187
u2 variation (V),6.1959,5.0465,8.4964,3.25,0.8617,3.7218
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0
