,epoch100,epoch200,epoch300,epoch400
$	heta$ MAE (rad),0.5206,0.5073,0.5074,0.5732
$\phi$ MAE (rad),0.395,0.3743,0.3777,0.3168
$	heta$ MSSE (rad),0.4795,0.4651,0.4663,0.5383
$\phi$ MSSE (rad),0.3507,0.334,0.3418,0.2779
$	heta$ in bounds (%),33.82,31.92,29.86,27.58
$\phi$ in bounds (%),45.34,46.74,41.01,50.21
$	heta$ unsteady (%),1.14,1.09,1.76,1.04
$\phi$ unsteady (%),3.03,3.08,4.52,4.19
$	heta$ rise time (s),0.6989,0.7018,0.7068,0.6855
$\phi$ rise time (s),0.4257,0.3703,0.3643,0.3864
$	heta$ settling time (s),1.2233,1.2448,1.3075,1.0993
$\phi$ settling time (s),1.0107,1.0777,1.3092,1.0002
u1 (V),4.9622,6.6387,7.2938,5.1941
u2 (V),6.1021,6.8662,8.4038,6.9377
u1 variation (V),8.8991,12.2747,13.4671,9.3648
u2 variation (V),11.4074,12.9477,15.9535,13.0312
Convergence time (min),0.0,0.0,0.0,0.0
