Unnamed: 0,epoch100,epoch200,epoch300,epoch400,epoch500,epoch600,epoch700,epoch800,epoch900,epoch1000
$	heta$ MAE (rad),0.5206,0.5073,0.5074,0.5732,0.531,0.519,0.4895,0.4383,0.4266,0.4402
$\phi$ MAE (rad),0.395,0.3743,0.3777,0.3168,0.3528,0.2838,0.3365,0.3842,0.402,0.3172
$	heta$ MSSE (rad),0.4795,0.4651,0.4663,0.5383,0.4917,0.4723,0.4498,0.3899,0.3766,0.3988
$\phi$ MSSE (rad),0.3507,0.33399999999999996,0.3418,0.2779,0.3181,0.243,0.2959,0.3491,0.3743,0.2746
$	heta$ in bounds (%),33.82,31.92,29.86,27.58,34.04,33.0,34.09,35.92,39.12,37.08
$\phi$ in bounds (%),45.34,46.74,41.01,50.21,45.1,57.09,51.62,38.01,37.07,48.27
$	heta$ unsteady (%),1.14,1.09,1.76,1.04,2.91,2.35,1.17,5.79,4.25,3.89
$\phi$ unsteady (%),3.03,3.08,4.52,4.19,5.59,5.34,4.25,12.56,11.09,9.08
$	heta$ rise time (s),0.6989,0.7018,0.7068,0.6855,0.7172,0.6882,0.6272,0.6019,0.6029,0.561
$\phi$ rise time (s),0.4257,0.3703,0.3643,0.3864,0.4057,0.3776,0.3779,0.3477,0.3501,0.3657
$	heta$ settling time (s),1.2233,1.2448,1.3075,1.0993,1.1771,1.0954,1.034,1.1237,1.2835,1.0228
$\phi$ settling time (s),1.0107,1.0777,1.3092,1.0002,1.0602,0.9937,0.8493,1.2303,1.2808,0.9938
u1 (V),4.9622,6.6387,7.2938,5.1941,5.7838,6.3866,5.1397,5.9809,6.3152,6.1606
u2 (V),6.1021,6.8662,8.4038,6.9377,7.1437,6.9448,7.2445,8.7131,7.7175,7.8935
u1 variation (V),8.8991,12.2747,13.4671,9.3648,10.3498,11.6865,9.1908,10.5775,11.3815,11.0953
u2 variation (V),11.4074,12.9477,15.9535,13.0312,13.5157,13.0619,13.6366,15.8751,14.1788,14.5971
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
