,iter1_base,iter1_reward01,iter1_reward02,iter1_reward03,iter1_reward04
$	heta$ MAE (rad),0.1051,0.1021,0.1143,0.106,0.1021
$\phi$ MAE (rad),0.0702,0.0673,0.0782,0.0755,0.0752
$	heta$ MSSE (rad),0.0232,0.0166,0.027,0.0228,0.0249
$\phi$ MSSE (rad),0.0146,0.0167,0.0218,0.0201,0.0161
$	heta$ in bounds (%),99.68,99.07,99.09,99.41,99.57
$\phi$ in bounds (%),99.53,97.86,99.73,99.87,99.85
$	heta$ unsteady (%),0.09,0.64,0.12,0.15,0.07
$\phi$ unsteady (%),0.38,2.09,0.15,0.13,0.14
$	heta$ rise time (s),0.5108,0.5107,0.509,0.525,0.4913
$\phi$ rise time (s),0.3094,0.2877,0.3331,0.3326,0.346
$	heta$ settling time (s),0.6533,0.6536,0.678,0.6764,0.6107
$\phi$ settling time (s),0.5042,0.4409,0.5216,0.4872,0.5206
u1 (V),0.7345,1.1587,0.84,0.9138,0.6883
u2 (V),1.3209,3.1646,0.6311,0.6951,1.7316
u1 variation (V),0.4493,1.281,0.5534,0.7571,0.3334
u2 variation (V),1.8448,5.5751,0.4942,0.707,2.7732
Convergence time (min),0.0,0.0,0.0,0.0,0.0
