,Unnamed: 0,iter0_base,iter0_reward01,iter0_reward02,iter0_reward03,iter0_rs01,iter0_rs02,iter0_gamma01,iter0_gamma02,iter0_gamma03,iter0_polyak01,iter0_polyak02,iter0_polyak03,iter0_lr01,iter0_lr02,iter0_bs01,iter0_bs02,iter0_ss01,iter0_ss02,iter0_noise01,iter0_noise02
0,$	heta$ MAE (rad),0.1547,0.1735,0.1542,0.1434,0.1569,0.1305,0.2586,0.0958,0.2773,0.1665,0.1522,0.1281,0.2025,0.1483,0.1758,0.1441,0.1513,0.13699999999999998,0.1849,0.1681
1,$\phi$ MAE (rad),0.1136,0.1307,0.142,0.0929,0.165,0.1014,0.0467,0.0793,0.1858,0.1604,1.5709,0.0861,0.1279,0.1184,0.2376,0.1084,0.1079,0.1016,0.1366,0.1195
2,$	heta$ MSSE (rad),0.0604,0.0834,0.0664,0.0544,0.0524,0.0419,0.133,0.0238,0.1872,0.0759,0.0509,0.0403,0.1039,0.0525,0.0838,0.0515,0.0606,0.0495,0.0889,0.0805
3,$\phi$ MSSE (rad),0.038,0.0561,0.071,0.0305,0.0905,0.0365,0.0063,0.0179,0.084,0.0728,,0.0235,0.0464,0.0488,0.1211,0.0425,0.0451,0.0352,0.0609,0.0575
4,$	heta$ in bounds (%),91.27,89.94,88.15,91.42,88.58,95.54,94.22,99.75,68.75,83.66,14.27,99.11,84.93,90.78,88.28,93.65,94.29,97.84,81.62,93.47
5,$\phi$ in bounds (%),94.26,92.67,82.94,93.47,81.51,95.33,99.81,99.59,83.42,80.0,0.0,97.94,93.91,89.35,72.28,91.86,96.77,95.27,84.28,90.1
6,$	heta$ unsteady (%),4.6,1.66,9.89,7.2,10.12,3.59,0.89,0.14,5.05,14.8,85.68,0.12,5.25,6.44,5.52,3.49,2.5,0.35,15.17,3.44
7,$\phi$ unsteady (%),5.09,6.09,14.92,6.49,14.98,4.28,0.18,0.21,12.79,16.86,100.0,2.01,4.84,9.83,16.44,7.74,3.14,4.58,14.01,9.14
8,$	heta$ rise time (s),0.504,0.5057,0.489,0.5041,0.5218,0.5288,0.5997,0.4512,0.6206,0.4994,0.4056,0.4919,0.4911,0.5038,0.4688,0.5162,0.525,0.4938,0.5107,0.5939
9,$\phi$ rise time (s),0.3612,0.3327,0.3602,0.3187,0.3513,0.3614,0.2481,0.3228,0.3206,0.3507,,0.3257,0.3554,0.3459,0.3566,0.3323,0.3292,0.3399,0.3442,0.3514
10,$	heta$ settling time (s),0.789,0.7879,0.7756,0.7353,0.8057,0.7591,0.8129,0.6097,1.0202,0.7902,0.6558,0.7618,0.7965,0.8207,0.9161,0.7865,0.7616,0.7656,0.8302,0.774
11,$\phi$ settling time (s),0.6148,0.5988,0.6495,0.5626,0.7407,0.5805,0.3468,0.5336,0.6624,0.6161,,0.5676,0.6206,0.6328,0.7911,0.5792,0.5894,0.597,0.6195,0.5843
12,u1 (V),1.6101,1.4375,1.8281,1.4117,2.9689,1.6788,1.2166,2.4381,4.1204,1.7649,5.8481,1.6518,1.8794,1.3136,1.8516,1.4461,1.5725,3.1421,1.5845,2.6997
13,u2 (V),3.1278,3.4671,4.6731,1.9672,3.594,2.8369999999999997,1.1673,3.7041,4.7317,3.2379,9.8691,2.3661,3.5053,3.6023,3.9004,3.0084,3.7026,3.94,3.0259,2.9939999999999998
14,u1 variation (V),1.7638,1.515,2.0731,1.2689,4.1627,2.0073,1.4841,3.6822,6.7955,1.7189,9.1295,1.9643,2.1859,1.1061,2.0715,1.5726,1.8261,4.9789,1.4369999999999998,4.0815
15,u2 variation (V),5.3681,5.9332,8.3633,3.0015,5.9833,4.8389,1.6167,6.6661,8.0508,5.1641,12.5806,3.8282,6.0099,6.2139999999999995,6.1687,5.001,6.4962,6.9576,4.9662,4.9848
16,Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
