Config.,$	heta$ MAE (rad),$\phi$ MAE (rad),$	heta$ MSSE (rad),$\phi$ MSSE (rad),$	heta$ in bounds (%),$\phi$ in bounds (%),$	heta$ unsteady (%),$\phi$ unsteady (%),$	heta$ rise time (s),$\phi$ rise time (s),$	heta$ settling time (s),$\phi$ settling time (s),u1 (V),u2 (V),u1 variation (V),u2 variation (V),Convergence time (min)
iter0_base,0.09437199274972158,0.09126119678677297,0.047619033491770324,0.008569100963468301,100.0,100.0,0.0,0.0,0.20100502512562815,0.4020100502512563,0.5025125628140704,0.6030150753768845,1.8288486460223794,7.548761323094368,3.098233092445225,13.981995645479941,0
iter0_reward01,0.15272914068643226,0.2610045836581886,0.09256309295393095,0.00316782198660448,100.0,100.0,0.0,0.0,0.20100502512562815,1.0050251256281408,1.206030150753769,1.105527638190955,0.9065125210443512,1.8009593466296792,0.7423903640996122,2.8122530735317786,0
iter0_reward_02,0.2808445900525857,0.29065272314508095,,,0.0,0.0,100.0,100.0,,,,,5.282931127422489,3.125761753402185,4.365522407379058,5.165983072304209,0
iter0_reward03,0.12478621978505318,0.15226161579864875,0.05593343201855028,0.06741854118904911,100.0,100.0,0.0,0.0,0.30150753768844224,0.35175879396984927,0.9547738693467337,0.35175879396984927,0.7609919583221199,8.087505327910185,0.5399617502037622,15.731678073430182,0
iter0_rs01,0.09404626824812973,0.3321737934415127,0.050402933809163386,0.2525693413656085,100.0,0.0,0.0,0.0,0.15075376884422112,,0.4020100502512563,,6.255832999246195,9.752174594253301,11.900824016268977,18.311567595556152,0
iter0_rs02,0.0957789335986358,0.14899017645227033,0.049597307371943344,0.011346438115339197,100.0,100.0,0.0,0.0,0.20100502512562815,0.45226130653266333,0.6030150753768845,0.7035175879396985,4.350698649743572,1.7259245428955183,6.46589970553116,2.9455350360004746,0
iter0_gamma01,0.059389200691551444,0.07840042165096905,0.0108356757096022,0.0010398558066273544,100.0,100.0,0.0,0.0,0.20100502512562815,0.4020100502512563,0.4020100502512563,0.6030150753768845,0.832874363171868,2.7486105389893054,1.1558662408766285,4.53673957580298,0
iter0_gamma02,0.0471235500246953,0.14275484766209526,0.01168903112598052,0.007407428357381285,100.0,100.0,0.0,0.0,0.10050251256281408,0.6532663316582915,0.35175879396984927,0.6030150753768845,0.7038910847564693,0.6768436775935698,0.2984381689170572,0.3061554482500373,0
iter0_gamma03,0.4518089823134772,0.1141478094280892,0.42712967371561206,0.05201854990611299,0.0,100.0,0.0,0.0,,0.4020100502512563,,0.35175879396984927,0.5397498782593175,0.6535085803188849,0.3941004202629781,0.5788388350936373,0
iter0_polyak01,0.06982284359353452,0.25752825854010086,0.033864721190710156,0.14341844797355696,100.0,100.0,0.0,0.0,0.15075376884422112,0.6030150753768845,0.35175879396984927,0.5527638190954774,0.5648901349384687,1.1746386754501146,0.27220315798349565,1.1351589931657153,0
iter0_polyak02,0.05395363524691755,1.5206799961072743,0.002691013768490791,,100.0,0.0,0.0,100.0,0.15075376884422112,,0.6030150753768845,,5.672549857245758,9.572926605679095,8.488904275561698,8.865573906419264,0
iter0_polyak03,0.09813501913446881,0.10078839322886597,0.04244020131209325,0.0388133665084327,100.0,100.0,0.0,0.0,0.2512562814070352,0.35175879396984927,0.5527638190954774,0.30150753768844224,1.0578793421853334,5.133828433370217,1.6099624626862643,9.513788383510244,0
iter0_lr01,0.1630259670444059,0.27628694519531427,0.11900516768660907,0.2000447820511262,100.0,100.0,0.0,0.0,0.30150753768844224,0.35175879396984927,0.45226130653266333,1.8090452261306533,2.2741199382347985,9.424149412219412,3.4500830702895495,17.669712904110625,0
iter0_lr02,0.09440923582258137,0.1519796321082824,0.06229702512104751,0.019917316525138506,100.0,100.0,0.0,0.0,0.15075376884422112,0.6030150753768845,0.35175879396984927,0.5527638190954774,1.2622284490265883,1.037142902574851,1.6539936977667948,0.7591201819423306,0
iter0_bs01,0.48988159393422703,0.09502720386678892,0.5242426074170936,0.037331227242393794,0.0,100.0,0.0,0.0,,0.20100502512562815,,0.2512562814070352,8.588101706467569,6.131061315024271,16.54244060529836,11.69562459937367,0
iter0_bs02,0.06910578653665243,0.11079814396617912,0.016612801912032182,0.007392700355737247,100.0,100.0,0.0,0.0,0.15075376884422112,0.35175879396984927,0.8040201005025126,0.7537688442211056,0.9571587572805583,7.011497407779098,0.6251385628278531,13.632538937893345,0
iter0_ss01,0.047255855498504626,0.17574705958203402,0.0065418642455075116,0.0508809324688837,100.0,100.0,0.0,0.0,0.15075376884422112,0.6532663316582915,0.35175879396984927,0.6030150753768845,9.453168661892414,1.8905924507416785,18.21181634712459,2.7391141602516775,0
iter0_ss02,0.15255525277544194,0.07981427540051668,0.09267084618435995,0.012597399492470629,100.0,100.0,0.0,0.0,0.20100502512562815,0.4020100502512563,0.7537688442211056,0.35175879396984927,0.8310934753040783,6.270118455588817,1.0509241736685886,11.648156738760484,0
iter0_noise01,0.09391031451058499,0.11864440573019358,0.042606675588480414,0.004434714427429043,100.0,100.0,0.0,0.0,0.15075376884422112,0.30150753768844224,0.8040201005025126,0.6030150753768845,0.587431504925189,0.7619432565537864,0.16075609885998557,0.8646643268331726,0
iter0_noise02,0.04819949146023142,0.11806850608639084,0.007010593733058457,0.009400357737864073,100.0,100.0,0.0,0.0,0.15075376884422112,0.5527638190954774,0.35175879396984927,0.5025125628140704,1.607522701099515,1.8361700293258765,2.3840873478794817,2.569431522065521,0
