Unnamed: 0,iter1_base,iter1_reward01,iter1_reward02,iter1_reward03,iter1_rs01,iter1_rs02,iter1_gamma01,iter1_gamma02,iter1_polyak01,iter1_polyak02,iter1_lr01,iter1_lr02,iter1_ss01,iter1_ss02,iter1_noise01,iter1_noise02
$	heta$ MAE (rad),0.0863,0.0992,0.0976,0.0861,0.0957,0.0864,0.098,0.0896,0.0904,0.0863,0.093,0.0887,0.0908,0.0902,0.0947,0.1002
$\phi$ MAE (rad),0.0772,0.0698,0.0783,0.0709,0.0689,0.0674,0.0695,0.1042,0.0786,0.0831,0.0744,0.0779,0.0843,0.0916,0.0919,0.0687
$	heta$ MSSE (rad),0.0083,0.0177,0.0149,0.0065,0.0152,0.0088,0.0123,0.0183,0.0092,0.0093,0.0094,0.0058,0.0104,0.0102,0.0075,0.0204
$\phi$ MSSE (rad),0.0151,0.0102,0.0241,0.0106,0.0089,0.0112,0.0091,0.0392,0.0179,0.0195,0.0089,0.0091,0.0132,0.0247,0.0135,0.0138
$	heta$ in bounds (%),99.91,99.26,99.38,99.84,99.78,99.87,99.61,99.62,99.74,99.73,99.79,99.77,99.64,99.71,99.4,99.57
$\phi$ in bounds (%),99.71,99.73,99.22,99.85,99.77,99.9,99.64,98.27,99.2,99.45,99.78,98.98,99.32,98.12,98.89,100.0
$	heta$ unsteady (%),0.03,0.14,0.08,0.07,0.08,0.02,0.08,0.07,0.06,0.04,0.08,0.16,0.16,0.11,0.3,0.01
$\phi$ unsteady (%),0.09,0.15,0.1,0.08,0.16,0.04,0.13,0.99,0.2,0.2,0.11,0.3,0.34,0.31,0.87,0.0
$	heta$ rise time (s),0.4586,0.4762,0.467,0.4762,0.4771,0.4619,0.4689,0.4469,0.4621,0.4601,0.4787,0.4664,0.4682,0.4427,0.4832,0.5214
$\phi$ rise time (s),0.3211,0.3254,0.3127,0.3306,0.3156,0.3098,0.3398,0.3435,0.3264,0.3388,0.324,0.3364,0.3472,0.3583,0.3666,0.2943
$	heta$ settling time (s),0.6004,0.6236,0.6464,0.6256,0.6271,0.6145,0.6442,0.5772,0.6465,0.5923,0.6349,0.6185,0.635,0.6092,0.6783,0.6397
$\phi$ settling time (s),0.5483,0.5099,0.5027,0.5184,0.5199,0.5006,0.5887,0.5518,0.5542,0.537,0.5958,0.5884,0.5948,0.5962,0.6567,0.5002
u1 (V),2.3254,1.353,1.5769,1.6568,3.3481,1.2163,4.2585,1.6338,1.549,1.3642,1.2686,1.8595,1.5383,2.735,2.4396,1.4551
u2 (V),1.279,0.7519,1.0483,0.8371,4.3839,2.7299,1.7417,2.6412,0.8583,1.3083,1.1178,0.8375,2.6666,0.8919,1.1849,1.733
u1 variation (V),3.5687,1.6427,2.067,2.2609,5.6514,1.3882,7.3929,2.191,1.941,1.6569,1.4262,2.5571,1.9989,4.3119,3.7039,1.8536
u2 variation (V),1.784,0.8055,1.3486,0.9536,8.0467,4.6948,2.6949,4.5242,0.9159,1.9002,1.4603,0.9504,4.545,1.0496,1.6141,2.7348
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
